UID,actual_time
XILCVKq60T,420.11
FPJQE6UNvS,48.11
p9LAsLMk3V,77.66
OJI0uJ5ID3,107.8
AyiClucrmf,132.48
Y4rIBWZviS,167.19
UNVIjp9toz,209.69
kdMghIUSSX,256.77
3Tm6ztiUtU,310.77
sdFJPtnH6Z,355.93
OXz7RoDE64,414.81
xxFooL3W1j,396.05
sW7TU00Lf9,526.1
ZSHWUOFieS,616.49
csWvxbmdH2,641.61
2mKuCggpBc,657.47
0NyLMCPhRb,672.53
jctoOuFxIX,720.92
0vthxCQSip,789.35
AFeGcB19TA,814.81
kz1JDscJSo,819.81
VfKAF5os1y,919.87
Tme4PYFvhM,955.48
oBKWYq80G8,951.67
0NpAdZ5t7m,1004.99
a02ZunG06j,16.5
rysKxocBeX,52.52
rvVJNrBsWi,52.19
gjx8zFHD25,198.68
bYpP3NROrg,249.66
qxPCnKqSCL,360.58
RL7oq3jGiR,476.69
VMvyUXPZG5,548.97
4znDtio76Z,592.77
BpZMW9OcrO,28.12
kdcPYFAqTh,55.34
xkinBHt41w,79.91
DyFvUwbIYR,105.8
SPiom1Fm3D,180.96
gvPDvYSeDD,215.2
lYbC4aLCFF,276.61
o1m9HabE0U,354.96
NxBF3zIF0m,444.34
o4FWlNSIjW,501.47
muLGp381Pp,525.86
NMHvJyRab5,36.31
gJbg7VHfys,84.08
BY2bOnnpI8,175.75
1A9bWOcZb2,225.59
wjkftIpHZh,288.31
t4Ooc31W6d,358.88
P2IxsQHMeG,414.07
9ElwHFZOvA,427.42
IJOXntRjfu,539.21
EzNi8Eb14C,584.59
Wc5P7pDF7h,627.98
45qrFG0wGN,28.19
tDJAVYGuA5,84.01
KE8Hk01WXE,27.5
XJDONpVVf1,93.07
UVIAzZ3XJX,54.36
NKQZ7zHzKQ,64.56
jUUg3Gj6FD,31.79
3N597kadin,57.36
pbSaW8oU06,29.73
pf0LzfqWHw,50.18
VdmNt2WmDU,152.75
bMZPsbDI3U,11.66
C0530EMt9v,21.48
jApoca06R1,28.03
prEvI5v1je,29.04
lEU8mFHNhb,26.56
kzQw8HOASr,15.64
2Um7ILubL9,25.34
qw1ABdaXpY,16.7
Ln6ZI4hNXB,65.28
Uih17MEM5h,87.55
nQ97RCtuyz,18.7
DE6RsjuZrd,30.52
bX1F5DRYyr,17.41
SBQqdeSQwZ,39.18
Gd41tGc41s,63.95
oCvMGphkD2,177.81
Z7IqFczixl,217.92
Ak2m7PGYg2,290.98
QglHsnPUoa,318.51
rLAONLHe2B,393.25
wkDFkRNGSG,550.1
2Ui5wEL9Ft,586.83
fPrQcXEaY7,607.07
4HwGko6xJB,668.56
GPc5kmCz1u,684.04
tY2xYjNAYL,742.24
pajxurEqlF,789.37
jwdDSLUEVn,898.24
ZSPl4XEytX,906.01
BGtAvoB044,997.14
4yh1EUqRO8,1189.58
RWbqetub9f,1196.39
kVVA5ZfEi1,1255.76
rkvMYpHbNF,1308.37
NzT7lHRfYN,1343.8
JFxwF8bx8C,1395.36
J6WU0Xvsms,1607.28
Juop2o7rVG,1647.94
dMaWvd7teS,1803.45
KIZ10SBSPo,1882.26
r6ZeXIofjP,1902.18
p9ngx6Ump5,2026.91
yUIniMyC5O,2186.68
Lw8Tjt6QyT,2252.59
af4rpAoKXz,2339.9
8J1Tl2Bmkd,2394.57
JZp3m7NJvN,2474.36
80BtL6W9xP,2543.77
y7qQs1h6HU,2709.2
S66lSIZOWa,85.05
bN8FtimZuC,20.98
nC8PTqgso5,29.63
LDdV0e0t81,41.54
9Tz4KwJhRW,67.15
IgErni6iLb,11.74
RUWWpEQ2Ye,37.01
xqxo8mpOAM,136.76
SqE07CDuTv,26.94
7oUnOwxsa7,50.91
SWazFB1iPY,63.42
wvoWRh0UIm,73.16
Le04IyQ8kV,46.5
7wDjHll4BN,54.9
7jCquDgP5V,66.55
qM87KeMxlQ,109.35
notcVZV1tk,35.53
ZRhkcpfJjc,52.69
cQSn4KFxoL,694.17
eFnHRTi1Yq,41.29
gx10o7AG8r,35.85
atmmwpeb8p,58.82
KwsTf7LWK1,965.22
niNLT6Kfy0,33.99
Vw8aEza9xY,59.56
ArSiPnZhRK,21.43
nJZCpX5757,79.44
a0JanIwWvE,98.05
ih3tB3oito,28.92
80ZWkM4GD2,67.64
Oy2nzRJTUJ,15.34
WA24pZLmZ0,22.57
XVxYfzgDNT,39.04
zZcyXbwtqn,64.92
BybReTMfC7,12.19
vhFlQoFu9E,32.14
MpRtEtIne7,65.52
Z5HMp9zG3v,11.02
of7UQCtNIK,16.35
viqJR9H4UN,40.93
Zi97YAxWns,24.67
P66TGkwFRq,16.13
sCZQWgbIHF,32.83
htuTOXnTgu,11.11
77X5ZbdIcw,39.14
m4hZ2JKq9W,49.4
mvlrS9BBy7,52.55
FQOLJzYjh9,113.22
qjukxEkM09,300.57
rfrhMkUl7R,26.25
WFGIlTF3Ff,37.21
s7gGY1nNcu,89.94
OTZeZ4JDRa,12.21
31wK9iglWl,27.86
JtUuyhoeQb,35.56
8YijY2eOvI,55.35
OdeNq9kumo,70.2
IfBjS2mKfZ,75.8
uhlMRJgJeO,12.17
WjzDXBAyKB,24.93
JBVwFzOdRy,39.14
jsyF0Rtkgw,96.58
P1Tr91W65T,103.37
IoVzNJTwvA,99.68
rvR3aLQVUz,11.24
zmY7FxCzA4,11.52
Q9cPEWWJMR,51.21
d2DePhr6jC,11.2
jly4kKhplW,25.02
vRERVPoH2N,54.11
qcb5lo1qq2,46.3
o1GCD50d24,113.43
Ri00DvSjWd,199.06
FxHqxVczFI,270.35
1hmf2FGi0k,390.04
gNn7B5Hvmz,472.07
UVZrWJhEzF,499.48
WlichJPM2l,596.92
YBjCuShmqY,642.0
Pc0BWalIlD,740.54
ITb1ST6Uxm,740.6
MmRuAinToc,845.11
YoBUSQjmmt,871.8
gAJM43I73n,940.01
qrW2EZ37Qs,954.02
ufADSisGhw,1036.39
rdJvOHZjvo,41.23
A5t0Y3Mvac,50.98
Fp3xY3dVK7,41.39
BugtGWVFQg,27.84
ZMBkdNaNlx,52.98
EQVvKFfg36,56.49
mG34fM1NeJ,17.4
aU9MB0THTO,33.51
L3XjiwPM4V,42.39
5MTi5iYiRu,144.79
Pn1AzAn3UB,166.85
ANnWv1u6ee,16.1
QWv1qXFISU,42.09
6YLjNW6f6g,26.12
SZrqoXMjJq,10.16
mhuwGo569K,57.79
SjxneP42Sk,12.4
kYMKNZB6uY,35.49
iNusejLRgC,31.55
qB7HilVIf9,45.65
EcG7byNjHA,17.08
CS0eOBDY16,54.74
4i6MR0BHyV,14.09
P3pw0XTYLL,68.93
BeqhXx699j,26.99
waghVAsUC7,100.94
KcSbSRJK2b,12.3
mKQppBPvh5,20.27
lfBzZQRlsg,65.09
bk1hmYC8Es,137.41
qQXK61zMsI,169.64
P9JQlnbpjM,20.12
7vWu5XMv6S,56.47
vUZno2PMMl,30.96
kEK21Deq94,39.24
GsvXfP2jkZ,42.71
8BEw0SXgx4,27.95
CB6YqT9H9V,29.83
Qy2zsZ5Ahq,77.68
dhxSvo4ZjB,64.75
Ssg35CJ6yH,62.16
4SYl58b1Vg,27.31
f6rZSdOTpO,24.72
AgZyrzT0yn,44.72
Ghpr9ud1Pv,65.26
FUMJx7452Z,93.9
2gGgPIxzAq,39.16
CaEYuf5qYn,33.99
lv188SDIs6,50.41
yhqqMqHK28,42.57
a4IJ1borzT,150.26
viaNQ3mED8,32.24
sGhemQdhdO,55.72
QEb0ta3nIB,33.74
N52GsHrBxS,51.8
5E7ztT6oOg,38.91
ObsoqM0tgA,43.94
3JuRw793jk,24.0
6S7Bku5H6p,29.66
9Bb0ZMauih,14.1
QdjNFypMfb,11.53
Ka4ErxqhDy,37.86
WqvjEKPnGI,46.55
qpsHREtKPb,100.31
t6GhnX5VGX,33.92
j1BNQ16sA3,92.14
h3sLwI2s7Y,138.0
vFdnRoqQFz,78.25
wmYstWUWZJ,68.64
NofCC6nI9i,31.15
b4ixyPNyMx,68.68
AwEmHwJbQ1,90.27
CPfkNffYwX,34.11
KS1UduvE7i,49.96
85dUlr7fqo,40.79
afojmHfmg4,37.65
jK1WxYHm4O,76.37
d9lvrquP4A,99.76
qWqLq24j70,178.33
E4gi229mLr,300.46
PJoJky0yST,369.21
XnALDspOgR,114.41
IT7Xt1MLLN,111.59
fBqwsh16Db,214.5
Gv0euEcMYP,237.12
50YpqEU2ER,257.84
1VhNJzqk4v,466.72
0P0JTiv6sH,602.31
dHANIxbZ2M,607.29
tsZ2K1wCRs,624.6
Itlz7vLPuB,638.13
StiPYvv5Mp,781.63
OMHt8jbZ4e,831.68
zqmwb2AgHP,881.71
MZRCsgCqy8,951.52
8rFWFNCSQr,978.57
BDUUPImoyo,1042.19
aMYYs3yaYe,1155.36
NSpQw7vFWP,1189.95
fZOkvBpvJ9,1189.65
jVIBiBkvFX,1275.89
khX9FD8wrx,1399.09
NSe16PuCCs,1497.28
KV6i4oDxk4,1498.64
LoiVWS0TKg,1538.97
g7U6a2L5yk,1635.46
vGCMqo7SIp,1755.26
3oAeun3sHI,85.88
yXUZV3f3rM,132.6
k0b1q61xT7,499.26
YNWGyJd1bl,656.19
oDH4hI9aFp,678.64
UaOs3CFYyX,678.02
RZHiylE6yZ,708.67
6e7j3iiPOP,55.66
DJem3g4qIX,132.99
USc1WtM1uq,16.95
axYDcrPDmz,11.18
Q7B5fYao9x,22.42
8NTgy8OQUm,21.01
4QcQP6B0Qy,131.73
Dh7RhetVS1,82.16
39jP2Z1urQ,85.4
BseIPUiJji,111.84
uuWsc855P5,38.91
WNBCyCImCV,93.07
U8rjv5ua99,12.39
6E1W0r9GO4,55.12
jLGNKuc20Y,98.42
Tsq9Ut4v42,27.35
YWpEyonN31,37.16
7WyeFCijpt,68.25
aBhpbo0Zva,45.95
xWclBgagd4,62.8
oYQUI64btx,86.07
zwoTAMgpbi,134.87
tdqo1CGhl2,270.47
FU4qGQN77f,316.6
GYLwWEQMLh,27.43
goyKXyO1h0,88.11
NAKz54KCYr,90.81
1sKe4yQHfc,23.74
FrvB6Eqv77,85.28
v2vaX6lnU3,155.07
IY7DZcNF2j,128.52
aVXQZX6KQl,168.12
tUxboUpsBV,246.84
HdLwRMpcBg,354.4
ShAt1r8H8g,449.8
FL4COTPGmI,11.8
ajUpTFFyZX,28.06
WrlzPMGuuJ,140.79
Ox4hbCqHhm,146.55
G3kwEkCkS2,54.61
RRCC4ceEcJ,15.26
8HQ46Rx3Ux,27.89
UmwooF2gJA,16.57
q6EIPSvVQk,26.5
FnxGbzlp2v,25.28
hbpnCvxnwz,25.88
sFCQhmB3P7,56.32
6A7iCIdGBr,117.82
ZG0STmih2l,135.85
zBCeoJuknF,172.77
5stmqrIEXp,321.01
LwSJKHv1ne,348.6
qAJYBdA874,23.56
Cvn0KIrOYG,40.93
iCKxaB5KAQ,11.25
EFHUHlIPGp,36.16
4PoNiu8T5T,37.96
Q9zR3b4Qb3,78.09
Sgv7TZ4y8H,25.55
7pKA6MP2Hn,92.05
skTNq49oXl,126.49
i8Is5eT4bM,56.25
3iKBZVH4Ez,101.28
K7nEEVydp4,135.36
Ph7Z8OFqAg,157.29
XPxwZVmBlI,201.41
c97MNDXn3C,25.2
fqbohiOes2,89.98
9F2FvRBfvJ,34.13
SuKPGijcCH,65.37
fUgSYQQ9nu,412.35
TD7Dr235TP,391.59
IB0fNlZK7Q,409.1
dn9T8HuVWK,23.3
y3HVQKsxY9,29.6
K0RTEI7Z7E,31.31
7zw5VSxpOC,66.57
YvuXWiEi9g,28.24
YZniG1ayQ6,77.64
kfz1lquamY,26.32
NAbuDFlWO1,38.27
7ronVhOOe1,37.31
PoihbxsGQ8,12.48
LcdYL5zrIj,27.48
Ut5cHmtwEw,15.51
LJdJBXkh23,22.87
7xMoXYsNLw,44.93
l5G6FxUxZo,30.39
oXumZUY9Ij,80.91
vn4QuneZvd,141.87
zamx4hFVYY,178.58
SNFsaCW03Z,130.2
Kcz8GSEto2,32.1
cvTrqsek55,255.61
12RVZTRz1m,69.42
rRslgJPIhx,246.8
OGY5WYU9L0,16.83
41Xy0A4wAT,41.94
lCL2T79wLU,55.29
pCrbdLOflk,59.4
veyjHdCsSt,26.4
7pyq5reV6P,87.1
7xyJT6ElmQ,130.71
3n82LfKEwl,183.87
66rxMYFqmw,226.09
GQdJVvcVbU,261.62
IggqGFEojC,375.26
u8X4d34y1O,514.36
GFPo9pVw1O,535.74
aSphbZ2Ht6,551.31
uJPnA0Wl3N,633.71
tODzWMVJ4x,697.04
44H5kZNAH1,845.13
JnGDBpxy6r,901.8
l4VqHLur99,931.37
4GGuGn7EPS,1024.78
tFPrSioeWh,1017.53
wy28WyxaV4,1081.1
hNvT6aRIaW,1134.75
A5AKDcNIAn,1318.64
LKdcpuurSM,1356.49
Iyzbhjl8rW,1455.57
V0YdpRodKb,1503.76
xzbVPv05ln,1876.24
8IpKLtDyPv,1869.64
VMCBUgdibd,2205.68
a4gYSQMBq2,2187.62
Io3epcneTq,2290.37
QjVzNarulL,59.4
8LsJFZv1VX,89.47
qtPvh5NFIb,27.92
JnOZtSMqpf,65.7
teqSQNfH1c,96.89
gyb44VCuHb,32.25
kL7TZB9n6P,65.6
8bl1F5qqXD,169.81
ZOYhqDy6aS,234.06
zFDrtwXE7W,95.27
UP0TFZpmEV,107.64
eDkDuGSyrB,32.2
Re2YJqBhls,149.89
g6bhL4Dfm1,230.28
9EQZodfsnT,293.58
K0h8phjqEj,316.17
97ZqtfEoAr,319.74
tTAJv3theo,98.31
C6nXWdcoLW,134.07
WRjXmPoMXe,214.09
Ark4okFo0j,281.02
y3S50MeVB7,300.92
MPFvqogaA7,324.03
ZOw368F9Hv,43.72
OUh7QJ76UF,61.97
e041iD2FTC,75.5
v1vH1SKvKp,126.35
OXp7npSwE9,141.22
zlt19Hept3,151.02
hbLzfJ4BYb,12.61
mLMOfHviJw,107.65
LRqtkZz3Z7,131.68
pGSxOwi1oy,191.49
EQToR5gK1K,25.84
BpcWI8T0S0,69.16
htXxFxn8JR,53.04
lGTjOjD6r5,116.88
I3R62YFhHM,42.85
pni6O1uS4R,101.83
ZuHw3ck8Zt,56.9
gKyScUlJCi,37.92
zjfDhEiXri,97.38
AxGmbBdoBq,128.99
h2r5izOM7C,196.06
c11lUWLC2s,242.84
pBNXHfBsJ8,372.69
Fs9vL80287,409.22
pfM0m5ugd3,453.2
s2vkBb6wLW,484.06
EuGNfKJBAE,28.43
rwUX0kKicD,74.6
czqERFpxpX,68.97
0iuICKq64T,16.14
bzGhljwEtL,31.7
l4TPpVuXr1,27.75
lLD6ZIRwlW,39.18
q6GsI8r70E,26.97
L8ws6Bg691,64.86
UHAxCdfNzc,83.33
QdjtsLBga1,55.13
JqqRVkdk8n,68.01
6PkdXhMXnq,90.85
MmAGk8uyhJ,11.67
FGKiFTN7BH,25.88
TEFtaLEI15,50.16
nD69PX5Hsh,50.93
zGpqGlp7Gw,84.92
54PDcPKpsH,34.66
m82zz0p9tG,62.99
oMiZRpLmUS,92.69
dgawieNN9i,35.99
87iLZsry4T,110.04
GdhBF0UeDx,83.78
j6TD2fRz8t,135.02
sP8wZYSKKN,37.45
sZgh8cwUpG,53.85
3MjoMQHoKe,133.73
S5SLwxn8C2,139.14
oXaYXjuhea,11.96
SsyOyRx0st,30.97
7WEwS39tT5,9.93
AdVoDA5Nx6,46.02
AK0aNPvYDE,12.77
4kYdAf1BVk,34.98
yDyyVKmMcI,43.31
0NIBF9hkNm,55.24
LUZ3quX3Yb,95.02
HYG6loMNPa,142.1
54VumLjing,26.04
W9cg6aOjPs,90.69
EcU4DY0iwz,25.87
QdbiAAda9k,26.39
NF7LasdaoU,49.38
LLJdtUR10P,16.03
bUDbq4XOYl,26.97
zX96yWJrtc,53.52
hwpOFXKmbE,30.97
dfav0C9PDz,705.42
kguBtIxitw,17.12
kynUhn4jvT,40.15
gpldUQYhWr,103.68
IGtyuvfdix,29.7
JnlSRxlOlj,40.11
yVGSWu94Hk,41.73
yCnzatxgJ5,67.78
IX41LyZqek,52.03
sWrHxDgf2T,62.57
uwI5Cdao3v,29.86
wTI9wB1mel,10.95
RyBg6gAwCY,14.35
ZmcmGtaW4n,24.82
gD4LExk2y9,37.46
ioU4jZYKxm,139.61
lajPfJHfZW,165.24
hCXU2AFQJN,57.75
KwkjXrM5n3,13.07
u8cWsvpBpq,27.79
QqHIWeCKy3,50.18
bEQmANBgQY,156.8
kjcEdKwY40,110.5
eAR1BKH4vq,22.11
9HGOpeFQZ2,81.01
iPF7IJ2xXp,11.75
r5lHaYUaHH,28.23
sBh9SE9KpO,43.38
qPRAx4KbhL,67.06
hs3TjYXEad,16.92
NUcGDCC07B,39.15
x2JhY4MqxE,50.05
cukeYB90bf,34.48
yAp4OWVbBH,105.08
L7LVISwx03,103.81
4xTEBFMLfy,86.62
jAkuyfBgGA,144.11
nPf7iln1Gn,15.63
I84dOm9CW1,30.03
acZgPbCT30,12.9
mXHPXBucSf,34.16
YdXjkPBjgV,27.92
q7xkp9zFAJ,62.73
QEUwSbUPG2,13.91
l1J54WytRb,30.2
IIrFCQZNPw,77.01
OGcuDBvcoe,54.8
reGp5R4KgT,13.73
X9waOXdW7V,72.23
C1zTNtDtbq,16.03
XAj7GFy0q6,47.48
JB3jnKlB0F,41.3
AJcbpiaR9y,17.11
2uyW91fZud,31.69
wQhnxqhrui,116.34
Omf9Rz9P9V,30.35
INElMo4sJN,66.96
uHThhreEQL,14.14
mQEbsCoXvY,33.07
M17hIhnczf,67.93
o0CExgiDYl,140.38
amWM7ZHwRV,28.21
L9Yac0OsSp,85.45
3XcN1d5JR4,233.13
Kd5tGQZTBQ,251.39
hQPrYKaczK,280.5
YgQQTsAs3d,335.07
wWgNUm305b,480.72
FqI48rc7fB,532.65
2DqPXgwU6F,621.2
pp12wKWgTu,81.67
261FIzzGHU,79.3
inSkEwCzAF,16.84
SImmxDsdRL,12.7
P3gWxKMPKR,151.66
v8WJk7n5DA,25.04
M4kfmGf9iQ,38.12
aIwGSbfDbz,59.13
YagPr1ILhA,11.21
WdKjDL4fzD,67.58
qcP052eZnj,26.26
bR4FnovOhP,126.26
KtGXMXWe2O,179.25
8LtGxhvk8M,244.97
r8f2VuvsiL,259.19
YxhvSXo76h,28.94
0XD94vC66N,58.99
9oco2LNgNN,94.9
F1lrNM7g4t,149.22
ZofsMB2HHx,231.96
mMLf7hlYL4,262.89
4lrxzRECMi,289.16
C8IzoTHVWu,349.96
hMCoggSDk0,376.37
mtIM8RZmyO,635.75
qfh3BP0OIM,689.69
CM1DvCUOao,842.45
shGFlFlwx3,856.18
NDWI6QykFj,1031.74
KGyDmwlron,1357.82
yVZybEZTUw,92.0
x4Qixr66L9,118.77
9gfOBUJjoH,33.77
u2AFS0gxsB,90.66
nlE5peJU0Q,166.56
UhB9ybxWuL,23.12
MVQqxZPK0N,11.66
f3U10jEalo,41.39
lDt2ybjs07,58.6
d3Wf9cBNEH,25.07
n1my7CxHIE,38.51
de54UVup54,59.56
y8WxAN55O7,29.2
u9WXuldKB7,48.81
MVvLPE9pvA,60.85
5YjDlNjYRm,72.66
OhWw8ItlfC,107.93
QLAjumsGz3,148.2
aKUOWXdsUu,214.35
9j3ykaNwMf,188.29
HCnYtiDm4I,34.98
kIA1P4Dsbw,33.11
BqjWyHSJxD,51.54
u0jxblqhaU,96.62
nnbC3FFuF4,204.45
UhicrmSZZe,225.38
ncpjWotpFK,287.07
BPi1Swrw5x,302.52
lmN8XZjuCd,11.71
wpsVAitp8U,12.34
0fT8rkXQre,48.07
JjMcylnP4L,55.57
V6GuTtgPCd,31.12
rAZjxV4nNn,98.18
2sqmcXWrjT,165.23
NxcxvhZhKm,256.81
VJtbvfAkJx,257.36
gBgwnRnCba,290.67
p1TLgTe3HA,334.97
5WN2BK9gEu,451.67
LqC00TIrZt,501.4
eO6KlPQVxq,113.06
xtlINikK7U,211.86
lt9QAnb5S3,262.58
swmNekV4N1,55.79
0iNYqWw6Nd,68.49
J2Sg0QKnNi,12.3
7jRevHBVRF,9.97
uHadkl24Jl,24.78
smk8jw0XKj,36.08
iZMVZqNEo1,45.72
3ygPLk26Ff,14.57
ikKOi8ARvv,27.91
9k3ZEnJCvE,10.29
hOR36RaCDH,27.58
rA8nJlCZ5w,26.16
RLp01e5chg,98.0
mEdtky4ijn,14.21
fA1vdTkPLh,28.76
pOj82m3FqM,66.21
kSMNPHPF6c,75.83
h087t4eZrV,48.03
sqayaaA9ii,72.95
oDSAb4wXA8,140.84
R56ijzQlKP,160.87
kbCK9pm7iB,272.74
lLrh9xLJVy,312.45
DQxxr5Q0xX,86.68
7Fyxcm1Zzf,139.96
GUCGFY0JQF,185.93
9vWtCEnbke,12.11
tqaPkqtO2d,32.01
5si6ZrKRtm,50.37
i02pb0txXV,31.52
saEHQVVP3n,53.19
prwfexxOMM,80.31
qkVEV80SUq,63.18
bVhYB9eNRQ,79.31
